

WARNING ⚠️ inference results will accumulate in RAM unless `stream=True` is passed, causing potential out-of-memory
errors for large sources or long-running streams and videos. See https://docs.ultralytics.com/modes/predict/ for help.

Example:
    results = model(source=..., stream=True)  # generator of Results objects
    for r in results:
        boxes = r.boxes  # Boxes object for bbox outputs
        masks = r.masks  # Masks object for segment masks outputs
        probs = r.probs  # Class probabilities for classification outputs

video 1/1 (frame 1/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.7ms
video 1/1 (frame 2/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 3/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 4/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 5/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 6/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 7/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 8/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 9/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 10/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 11/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
video 1/1 (frame 12/5592) /home/lenovo/data/liujiaji/Oildata/DJI_20240926150333_0001_Z.MP4: 480x800 1 normal, 7.3ms
