                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2067,                 3.9468,                 1.3118,                0.57703,                0.70482,                0.72465,                 0.6215,                0.78042,                 1.4095,                 1.0309,                 0.0721,                 0.0031,                 0.0031
                      2,                 1.0153,                 1.5654,                 1.1521,                0.91069,                0.73804,                0.89486,                0.76906,                0.65772,                0.71432,                  0.944,                 0.0433,              0.0062996,              0.0062996
                      3,                0.93173,                 1.2757,                 1.1181,                0.82986,                0.81245,                0.88601,                0.75698,                0.74149,                 1.3243,                 1.0501,               0.014498,              0.0094977,              0.0094977
                      4,                0.94003,                 1.6513,                 1.1108,                0.84559,                 0.7922,                0.85159,                0.69267,                0.73834,                 1.0491,                0.94086,              0.0099945,              0.0099945,              0.0099945
                      5,                0.94498,                 1.1167,                 1.1029,                0.92179,                0.79857,                0.85013,                0.72648,                0.64922,                0.65355,                0.90701,              0.0099902,              0.0099902,              0.0099902
                      6,                0.94958,                0.95562,                 1.1096,                0.82462,                0.69871,                 0.7944,                0.67974,                 0.6477,                0.79283,                0.91042,              0.0099847,              0.0099847,              0.0099847
                      7,                0.97277,                0.94371,                 1.1272,                0.89558,                0.88289,                0.93643,                0.78947,                0.66963,                 0.6096,                0.92309,               0.009978,               0.009978,               0.009978
                      8,                 0.9233,                0.84635,                 1.0998,                0.80434,                0.91791,                0.96081,                0.80912,                0.68965,                0.58823,                0.93404,              0.0099701,              0.0099701,              0.0099701
                      9,                 0.9334,                0.86261,                 1.1089,                0.94155,                 0.8193,                0.90601,                0.74878,                0.69896,                0.64154,                0.95082,               0.009961,               0.009961,               0.009961
                     10,                0.92988,                0.80599,                 1.1005,                0.85649,                0.89792,                0.95284,                0.79532,                 0.7443,                0.60019,                0.96706,              0.0099506,              0.0099506,              0.0099506
                     11,                0.93168,                0.77876,                 1.1084,                0.94254,                0.90026,                 0.9754,                0.81985,                0.67679,                0.54649,                0.93574,              0.0099391,              0.0099391,              0.0099391
                     12,                0.88203,                0.74321,                 1.0782,                0.82564,                0.92207,                0.89304,                 0.7628,                0.63571,                0.57108,                0.90892,              0.0099263,              0.0099263,              0.0099263
                     13,                0.91103,                0.77043,                 1.0987,                0.88783,                0.90277,                 0.9081,                0.75939,                0.64523,                0.48027,                 0.9238,              0.0099123,              0.0099123,              0.0099123
                     14,                0.89747,                 0.7275,                 1.0811,                0.91037,                0.93409,                0.96204,                0.80425,                0.64674,                0.42341,                0.92618,              0.0098972,              0.0098972,              0.0098972
                     15,                0.85877,                0.70094,                 1.0751,                0.94917,                0.85912,                0.94877,                0.78364,                0.68317,                0.56666,                0.95338,              0.0098808,              0.0098808,              0.0098808
                     16,                0.88061,                0.72805,                 1.0684,                0.80986,                0.90832,                0.85132,                0.73718,                0.65117,                0.60964,                  0.936,              0.0098632,              0.0098632,              0.0098632
                     17,                0.85584,                0.69359,                 1.0794,                0.93856,                0.94013,                0.95597,                0.82605,                0.61166,                0.42484,                0.90744,              0.0098445,              0.0098445,              0.0098445
                     18,                0.85892,                0.67038,                 1.0671,                0.94751,                0.93313,                0.96469,                0.82744,                0.64673,                0.46106,                0.91489,              0.0098246,              0.0098246,              0.0098246
                     19,                 0.8452,                0.66571,                 1.0534,                0.91599,                0.91032,                0.89189,                  0.784,                0.61154,                0.45144,                0.90811,              0.0098035,              0.0098035,              0.0098035
                     20,                0.83701,                0.64895,                 1.0565,                 0.8495,                0.98208,                0.97497,                0.83138,                0.60521,                0.38674,                0.89039,              0.0097812,              0.0097812,              0.0097812
                     21,                0.81544,                0.63088,                 1.0424,                0.88396,                0.93941,                0.96859,                0.83463,                0.70544,                0.45968,                0.93249,              0.0097577,              0.0097577,              0.0097577
                     22,                0.81456,                0.61897,                 1.0575,                0.84715,                0.90896,                0.96071,                0.83577,                0.64571,                 0.4401,                0.91881,              0.0097331,              0.0097331,              0.0097331
                     23,                0.80516,                0.61424,                 1.0369,                0.95799,                0.95279,                0.96902,                 0.8462,                0.58848,                0.39186,                0.89819,              0.0097074,              0.0097074,              0.0097074
                     24,                0.79513,                0.60564,                 1.0417,                0.94867,                0.96382,                0.96755,                0.82878,                0.63533,                0.39123,                0.90314,              0.0096804,              0.0096804,              0.0096804
                     25,                0.81103,                0.59975,                 1.0434,                0.95024,                0.93681,                0.97493,                0.83279,                0.67511,                0.43688,                0.91749,              0.0096524,              0.0096524,              0.0096524
                     26,                0.81343,                0.60652,                  1.041,                0.85494,                0.94171,                0.94827,                 0.8201,                0.60492,                0.40031,                0.89491,              0.0096232,              0.0096232,              0.0096232
                     27,                0.79068,                 0.5809,                 1.0367,                0.91727,                0.83044,                0.89547,                0.71516,                0.76817,                0.63466,                0.98613,              0.0095929,              0.0095929,              0.0095929
                     28,                0.78398,                0.59287,                 1.0367,                0.90594,                0.90553,                 0.9667,                0.82075,                0.62222,                0.39289,                0.90672,              0.0095614,              0.0095614,              0.0095614
                     29,                0.77117,                0.55166,                 1.0298,                0.93397,                0.95212,                0.96596,                0.83442,                0.59773,                0.37357,                0.90176,              0.0095289,              0.0095289,              0.0095289
                     30,                0.79152,                0.57898,                 1.0227,                0.92599,                0.93367,                0.95548,                0.82673,                0.62119,                0.36747,                0.90262,              0.0094952,              0.0094952,              0.0094952
                     31,                0.78587,                0.56336,                 1.0428,                  0.977,                0.92621,                0.96072,                 0.8438,                0.60923,                0.35955,                0.89513,              0.0094605,              0.0094605,              0.0094605
                     32,                0.77782,                0.56592,                 1.0292,                 0.9117,                0.92952,                0.89448,                0.80364,                0.59532,                0.42048,                0.89016,              0.0094246,              0.0094246,              0.0094246
                     33,                0.76903,                0.57567,                 1.0302,                0.86487,                0.93365,                0.96392,                0.84213,                0.59014,                0.45009,                0.88794,              0.0093877,              0.0093877,              0.0093877
                     34,                0.76839,                0.57272,                 1.0249,                0.96976,                0.92703,                0.95917,                0.82278,                 0.6417,                 0.3679,                0.91485,              0.0093497,              0.0093497,              0.0093497
                     35,                0.80058,                0.60287,                 1.0547,                0.97446,                0.96166,                0.96555,                0.83448,                0.57665,                0.35484,                0.89151,              0.0093107,              0.0093107,              0.0093107
                     36,                0.73233,                0.52867,                 1.0133,                0.96367,                0.95349,                0.96829,                0.84729,                0.57523,                0.37696,                0.88286,              0.0092706,              0.0092706,              0.0092706
                     37,                0.75308,                 0.5327,                  1.014,                0.93225,                0.95906,                0.98443,                0.84094,                0.61156,                 0.3685,                0.89612,              0.0092294,              0.0092294,              0.0092294
                     38,                 0.7506,                0.53211,                 1.0173,                0.92914,                0.94568,                 0.9632,                0.83025,                0.59434,                0.37096,                0.88126,              0.0091872,              0.0091872,              0.0091872
                     39,                0.75212,                0.53223,                 1.0198,                0.96722,                0.93248,                0.96803,                0.85391,                0.57926,                0.35943,                0.89429,               0.009144,               0.009144,               0.009144
                     40,                0.74902,                0.53348,                 1.0262,                0.96924,                0.91915,                0.95556,                0.83309,                0.61553,                  0.342,                0.90395,              0.0090998,              0.0090998,              0.0090998
                     41,                0.72407,                0.51372,                 1.0034,                 0.9646,                0.92847,                 0.9609,                0.84664,                0.58723,                 0.3268,                0.89171,              0.0090546,              0.0090546,              0.0090546
                     42,                0.71963,                0.51532,                 1.0029,                0.95964,                 0.9224,                0.95911,                0.83399,                0.55164,                0.32784,                0.87522,              0.0090084,              0.0090084,              0.0090084
                     43,                0.69166,                0.49144,                 1.0015,                0.97858,                0.94016,                0.96307,                0.84939,                0.55852,                0.30744,                0.87428,              0.0089613,              0.0089613,              0.0089613
                     44,                0.72419,                 0.5218,                 1.0132,                0.96275,                0.93902,                0.96523,                0.84782,                0.58645,                0.34084,                 0.8882,              0.0089131,              0.0089131,              0.0089131
                     45,                0.72877,                 0.5131,                 1.0093,                0.97137,                0.93544,                0.96259,                0.84869,                0.57281,                0.33605,                0.87447,               0.008864,               0.008864,               0.008864
                     46,                0.71276,                0.50464,                 1.0023,                0.98066,                0.93363,                0.96507,                0.86395,                0.56835,                0.32082,                 0.8726,               0.008814,               0.008814,               0.008814
                     47,                0.70434,                0.50662,                 1.0125,                 0.9407,                0.94807,                0.95854,                0.84588,                0.55943,                0.34073,                0.86764,               0.008763,               0.008763,               0.008763
                     48,                0.69184,                0.51309,                0.99501,                0.95954,                0.91415,                0.95672,                0.85653,                0.52701,                0.32068,                0.85998,              0.0087112,              0.0087112,              0.0087112
                     49,                0.71488,                0.48473,                0.99978,                0.97192,                0.94615,                0.97209,                0.85799,                0.55663,                0.32958,                 0.8699,              0.0086584,              0.0086584,              0.0086584
                     50,                0.70923,                0.46586,                 1.0004,                0.98119,                0.95082,                0.97819,                0.85801,                0.57308,                0.32008,                0.87232,              0.0086047,              0.0086047,              0.0086047
                     51,                0.66854,                0.48032,                0.97715,                0.94797,                0.96614,                0.97082,                0.82264,                0.56829,                0.33334,                0.87594,              0.0085502,              0.0085502,              0.0085502
                     52,                0.65935,                0.47018,                0.96394,                0.94094,                0.94882,                0.96588,                0.83295,                0.57959,                0.34048,                0.88013,              0.0084948,              0.0084948,              0.0084948
                     53,                0.70871,                0.48422,                0.98546,                0.96221,                0.93652,                0.96037,                0.85023,                0.56458,                0.32546,                0.87839,              0.0084385,              0.0084385,              0.0084385
                     54,                0.70601,                0.48297,                0.99959,                 0.9536,                0.95647,                 0.9675,                0.85237,                0.54676,                0.31136,                0.87822,              0.0083814,              0.0083814,              0.0083814
                     55,                0.69444,                0.47591,                0.99277,                0.97925,                0.96432,                0.97866,                 0.8579,                0.53917,                  0.304,                0.86976,              0.0083235,              0.0083235,              0.0083235
                     56,                0.68137,                0.47103,                0.98728,                0.95949,                0.96002,                0.98254,                0.85382,                0.54959,                0.28576,                0.87085,              0.0082648,              0.0082648,              0.0082648
                     57,                0.67252,                 0.4673,                0.98154,                0.98176,                0.94382,                0.96602,                 0.8544,                0.53729,                0.29595,                0.86313,              0.0082052,              0.0082052,              0.0082052
                     58,                0.67536,                0.46487,                0.98336,                0.94277,                0.93816,                0.97172,                 0.8575,                0.53513,                0.31162,                0.85972,               0.008145,               0.008145,               0.008145
                     59,                0.65503,                0.45018,                0.97241,                0.94257,                0.93974,                0.96314,                 0.8617,                0.52091,                0.30983,                0.85726,              0.0080839,              0.0080839,              0.0080839
                     60,                0.65762,                0.44868,                0.96974,                0.96098,                0.92643,                0.96715,                0.86445,                 0.5218,                0.31959,                0.85959,              0.0080221,              0.0080221,              0.0080221
                     61,                0.66518,                0.45564,                0.97461,                0.96955,                 0.9353,                0.96631,                 0.8775,                 0.5312,                0.29997,                0.86992,              0.0079595,              0.0079595,              0.0079595
                     62,                0.64841,                0.43986,                0.96034,                0.96712,                0.95465,                0.96617,                0.87464,                0.52678,                0.29891,                0.85353,              0.0078963,              0.0078963,              0.0078963
                     63,                0.66739,                0.45311,                0.97589,                0.96725,                 0.9543,                0.96018,                0.85901,                0.54011,                0.30709,                0.86485,              0.0078323,              0.0078323,              0.0078323
                     64,                0.65674,                0.44053,                0.96897,                0.97285,                0.95475,                 0.9657,                0.87523,                0.52232,                 0.3015,                0.86923,              0.0077677,              0.0077677,              0.0077677
                     65,                0.65475,                0.43675,                0.97097,                0.98076,                0.94452,                 0.9616,                0.86429,                0.51143,                0.30164,                0.85598,              0.0077023,              0.0077023,              0.0077023
                     66,                0.63474,                0.42906,                0.95764,                0.92911,                0.95765,                0.96419,                0.86069,                0.50281,                0.29361,                0.85407,              0.0076364,              0.0076364,              0.0076364
                     67,                 0.6545,                0.44677,                0.97139,                0.96802,                0.96326,                0.97233,                0.87177,                0.51598,                0.27171,                0.86042,              0.0075698,              0.0075698,              0.0075698
                     68,                0.62909,                0.42015,                0.96295,                 0.9788,                0.95317,                0.97995,                0.86845,                0.51127,                0.27229,                0.86229,              0.0075025,              0.0075025,              0.0075025
                     69,                0.62645,                0.42617,                0.96362,                0.98308,                0.95591,                0.98055,                 0.8648,                0.50221,                0.27403,                0.86316,              0.0074347,              0.0074347,              0.0074347
                     70,                 0.6206,                0.42162,                0.95506,                0.98331,                0.96727,                0.98203,                0.86993,                0.50917,                0.27695,                0.85551,              0.0073663,              0.0073663,              0.0073663
                     71,                0.63035,                0.41214,                0.95122,                0.97531,                0.95561,                0.97757,                 0.8752,                0.48391,                0.27789,                0.84395,              0.0072973,              0.0072973,              0.0072973
                     72,                0.61632,                0.42157,                0.94923,                0.95655,                0.96116,                0.98388,                 0.8859,                 0.4889,                0.26594,                0.84892,              0.0072277,              0.0072277,              0.0072277
                     73,                0.60445,                 0.4051,                0.94697,                0.98659,                0.96245,                0.98162,                0.87842,                0.50505,                0.27737,                0.84949,              0.0071576,              0.0071576,              0.0071576
                     74,                0.62718,                0.41817,                 0.9607,                0.97315,                0.96486,                0.98372,                0.89216,                0.48711,                0.26943,                0.84174,               0.007087,               0.007087,               0.007087
                     75,                0.63291,                0.41911,                0.94692,                0.97122,                0.95317,                0.97179,                0.88455,                 0.4908,                 0.2857,                0.84849,              0.0070159,              0.0070159,              0.0070159
                     76,                0.60011,                0.40863,                0.92986,                0.97094,                0.96813,                 0.9698,                 0.8812,                0.49828,                0.28395,                0.85589,              0.0069443,              0.0069443,              0.0069443
                     77,                0.60907,                0.40015,                0.95889,                0.96394,                0.96306,                0.97638,                0.86813,                 0.4991,                 0.2722,                0.85733,              0.0068722,              0.0068722,              0.0068722
                     78,                0.61194,                0.39475,                 0.9363,                0.97401,                0.95888,                0.98074,                0.86812,                0.47822,                0.25451,                0.85127,              0.0067997,              0.0067997,              0.0067997
                     79,                  0.582,                0.39396,                0.94607,                0.97228,                0.95369,                0.96703,                0.85846,                0.48945,                 0.2512,                0.85134,              0.0067268,              0.0067268,              0.0067268
