                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84688,                 3.2418,                 1.0687,                0.80644,                0.73523,                0.78432,                0.67905,                  0.668,                0.92358,                0.95647,                 0.0721,                 0.0031,                 0.0031
                      2,                0.66521,                 1.0063,                0.98209,                0.79015,                0.80705,                0.83434,                0.70175,                0.69676,                0.67536,                0.98032,                 0.0433,              0.0062998,              0.0062998
                      3,                0.67076,                0.81632,                 0.9675,                0.79925,                0.92789,                0.87891,                0.75338,                0.61719,                0.83023,                0.92297,               0.014499,               0.009499,               0.009499
                      4,                0.70108,                0.80721,                0.96951,                0.80492,                0.81054,                  0.861,                0.66975,                0.64938,                0.82907,                0.92966,              0.0099976,              0.0099976,              0.0099976
                      5,                0.76342,                0.78796,                0.98884,                0.91251,                0.75685,                0.83796,                0.68996,                0.68854,                0.64086,                 0.9549,              0.0099957,              0.0099957,              0.0099957
                      6,                0.74577,                0.69834,                0.98565,                0.86062,                0.89374,                0.95534,                0.80102,                0.64983,                0.64458,                0.94462,              0.0099932,              0.0099932,              0.0099932
                      7,                0.74971,                0.69268,                0.98946,                0.89525,                0.88634,                0.95544,                0.81354,                0.64744,                0.63407,                0.91875,              0.0099902,              0.0099902,              0.0099902
                      8,                0.74423,                0.62157,                0.98974,                0.91277,                0.92426,                0.96146,                0.83843,                0.66998,                  0.561,                0.94101,              0.0099867,              0.0099867,              0.0099867
                      9,                0.70945,                0.56858,                 1.0005,                0.96184,                0.88643,                0.98678,                0.81551,                0.69146,                0.52813,                0.95719,              0.0099826,              0.0099826,              0.0099826
                     10,                0.71869,                0.61709,                 1.0035,                0.94616,                0.92794,                0.94651,                0.82112,                 0.6214,                0.44407,                0.94537,               0.009978,               0.009978,               0.009978
                     11,                0.71883,                0.56376,                0.98816,                0.90306,                0.91521,                0.94294,                0.81439,                0.63656,                0.50472,                0.93574,              0.0099729,              0.0099729,              0.0099729
                     12,                0.69899,                0.54316,                0.97716,                0.93645,                0.95057,                0.96584,                0.82253,                0.62064,                0.52435,                 0.9257,              0.0099672,              0.0099672,              0.0099672
                     13,                0.68962,                0.54036,                0.97138,                0.89174,                0.90808,                0.96963,                0.83119,                0.64789,                0.52386,                0.92697,               0.009961,               0.009961,               0.009961
                     14,                 0.6807,                 0.5209,                 0.9789,                0.87571,                0.93508,                0.95209,                0.83717,                0.65464,                0.48658,                0.92789,              0.0099542,              0.0099542,              0.0099542
                     15,                0.69328,                0.52075,                0.97318,                0.91241,                0.87618,                0.94581,                0.80098,                0.66345,                0.52983,                0.92884,              0.0099469,              0.0099469,              0.0099469
                     16,                0.67463,                0.51192,                0.97762,                0.95801,                0.95571,                0.96817,                0.83286,                0.61958,                0.44024,                0.91731,              0.0099391,              0.0099391,              0.0099391
                     17,                0.65486,                0.52528,                0.96344,                0.93447,                0.88394,                 0.9543,                0.81943,                0.57375,                0.42968,                0.89196,              0.0099307,              0.0099307,              0.0099307
                     18,                0.67433,                0.52219,                0.98562,                0.94586,                0.93979,                0.96253,                0.81949,                 0.6435,                0.39742,                0.92533,              0.0099218,              0.0099218,              0.0099218
                     19,                0.65386,                0.49865,                0.96111,                0.89078,                 0.9187,                0.95068,                0.82539,                0.62668,                0.42119,                0.93321,              0.0099123,              0.0099123,              0.0099123
                     20,                  0.664,                0.49201,                0.97595,                0.95949,                0.96079,                0.97268,                0.84987,                0.60409,                0.34754,                0.90924,              0.0099023,              0.0099023,              0.0099023
                     21,                0.65694,                0.50827,                0.98174,                0.89921,                0.95452,                0.96149,                0.85634,                0.55546,                0.37814,                  0.889,              0.0098918,              0.0098918,              0.0098918
                     22,                 0.6555,                0.50974,                0.97107,                0.93145,                0.93339,                 0.9642,                0.85523,                0.57578,                 0.3948,                0.89543,              0.0098808,              0.0098808,              0.0098808
                     23,                0.65303,                0.49849,                0.97606,                0.94405,                0.93216,                0.96617,                 0.8395,                0.59195,                0.36919,                0.90749,              0.0098692,              0.0098692,              0.0098692
                     24,                0.63806,                 0.4725,                 0.9567,                0.93686,                0.95632,                0.97701,                0.85374,                0.55514,                0.32732,                0.88602,              0.0098571,              0.0098571,              0.0098571
                     25,                0.63723,                0.47111,                0.95425,                0.94429,                0.92612,                  0.969,                0.86063,                0.56765,                0.33415,                0.88724,              0.0098445,              0.0098445,              0.0098445
                     26,                0.62723,                0.47004,                0.94947,                0.96083,                0.94444,                0.96506,                0.84659,                0.56793,                0.34412,                0.88372,              0.0098313,              0.0098313,              0.0098313
                     27,                0.61655,                0.45168,                0.94951,                0.96227,                0.96405,                0.98562,                0.87085,                0.55421,                0.32663,                0.87853,              0.0098177,              0.0098177,              0.0098177
                     28,                0.60358,                0.45094,                 0.9314,                0.90174,                0.92372,                0.95796,                0.83548,                0.57601,                0.36318,                 0.8872,              0.0098035,              0.0098035,              0.0098035
                     29,                0.62003,                0.45424,                0.95598,                0.92408,                0.94794,                0.95238,                0.82642,                0.59905,                0.35671,                0.90118,              0.0097887,              0.0097887,              0.0097887
                     30,                0.61214,                0.45247,                0.95109,                0.95169,                0.94899,                0.96284,                0.83332,                0.60811,                0.37149,                0.90265,              0.0097735,              0.0097735,              0.0097735
                     31,                 0.6181,                0.44305,                0.95021,                0.90953,                0.94763,                0.95769,                0.84109,                0.64045,                 0.3817,                0.92313,              0.0097577,              0.0097577,              0.0097577
                     32,                0.62676,                0.45852,                0.96037,                0.95427,                0.93186,                0.95904,                0.85986,                0.57086,                0.32414,                0.89123,              0.0097415,              0.0097415,              0.0097415
                     33,                0.63066,                0.44168,                0.96732,                0.94554,                0.94716,                0.96861,                0.85283,                0.58066,                0.31874,                0.89376,              0.0097247,              0.0097247,              0.0097247
                     34,                0.60089,                 0.4367,                0.95424,                0.96687,                0.93117,                0.96085,                0.84097,                0.58139,                0.33668,                0.89648,              0.0097074,              0.0097074,              0.0097074
                     35,                0.60023,                0.45839,                0.95523,                0.96209,                0.94885,                0.96702,                0.87461,                0.52781,                0.33011,                0.86804,              0.0096895,              0.0096895,              0.0096895
                     36,                 0.6131,                0.44647,                0.96039,                 0.9518,                0.94592,                0.96297,                 0.8754,                0.53618,                 0.3032,                0.87191,              0.0096712,              0.0096712,              0.0096712
                     37,                0.58829,                 0.4354,                0.92846,                0.97041,                0.93852,                0.98104,                 0.8651,                0.52091,                0.29464,                0.85963,              0.0096524,              0.0096524,              0.0096524
                     38,                 0.6038,                0.43994,                 0.9479,                0.93675,                0.96429,                0.98138,                0.87587,                 0.5292,                0.33269,                0.87639,              0.0096331,              0.0096331,              0.0096331
                     39,                0.60004,                0.42395,                0.95819,                 0.9532,                0.96416,                0.97125,                0.85338,                0.55396,                0.31936,                0.88137,              0.0096132,              0.0096132,              0.0096132
                     40,                0.58063,                0.42393,                0.94237,                0.94374,                0.96899,                0.98268,                0.86726,                0.55211,                0.33675,                0.88076,              0.0095929,              0.0095929,              0.0095929
                     41,                0.59066,                0.44002,                0.94655,                0.95854,                0.95472,                0.96971,                0.86612,                0.58934,                0.34097,                0.89989,              0.0095721,              0.0095721,              0.0095721
                     42,                0.59033,                0.43297,                0.95129,                0.95401,                0.92383,                0.95722,                0.85119,                0.56289,                0.33503,                0.87485,              0.0095507,              0.0095507,              0.0095507
                     43,                0.56777,                0.42068,                0.92994,                0.97112,                0.96879,                0.98249,                 0.8509,                0.58242,                0.32201,                0.88754,              0.0095289,              0.0095289,              0.0095289
                     44,                 0.5738,                0.41158,                0.94474,                0.92532,                0.94777,                 0.9787,                0.85872,                0.55548,                0.36114,                0.87234,              0.0095066,              0.0095066,              0.0095066
                     45,                0.58902,                0.40923,                0.94008,                0.97288,                0.96685,                0.98782,                0.85572,                0.56852,                 0.3321,                0.88212,              0.0094838,              0.0094838,              0.0094838
                     46,                0.57785,                0.42063,                0.94119,                0.97746,                0.94215,                0.97443,                0.86036,                0.55555,                0.30934,                0.88149,              0.0094605,              0.0094605,              0.0094605
                     47,                0.58242,                0.43105,                0.94378,                0.87895,                0.95784,                0.89139,                0.76803,                0.57543,                0.44682,                0.88095,              0.0094367,              0.0094367,              0.0094367
                     48,                0.56813,                0.40663,                0.93617,                0.97441,                0.93879,                0.95333,                 0.8723,                0.50733,                0.29886,                0.86478,              0.0094125,              0.0094125,              0.0094125
                     49,                0.56356,                0.40594,                0.92996,                0.95268,                0.92845,                0.97508,                0.86509,                0.54138,                0.31045,                0.88051,              0.0093877,              0.0093877,              0.0093877
                     50,                0.56876,                0.41479,                0.92681,                0.97086,                0.95782,                0.98585,                 0.8831,                0.54754,                0.30228,                0.88229,              0.0093625,              0.0093625,              0.0093625
                     51,                0.54836,                0.38896,                 0.9234,                0.96291,                0.95072,                0.97782,                0.87438,                0.54137,                0.31117,                0.87514,              0.0093368,              0.0093368,              0.0093368
                     52,                 0.5547,                 0.3855,                0.92925,                0.97187,                0.93632,                0.97081,                0.87064,                0.56013,                0.34701,                0.89411,              0.0093107,              0.0093107,              0.0093107
                     53,                0.53185,                0.38326,                0.91825,                 0.9767,                0.95293,                0.97654,                0.85835,                0.55412,                0.29163,                0.89267,              0.0092841,              0.0092841,              0.0092841
                     54,                 0.5658,                0.40613,                0.93426,                0.97726,                 0.9431,                0.96698,                0.86236,                0.52366,                0.29059,                0.87478,               0.009257,               0.009257,               0.009257
                     55,                 0.5569,                0.38504,                0.91744,                0.97727,                0.92545,                0.96078,                0.85823,                0.56598,                0.30306,                0.88739,              0.0092294,              0.0092294,              0.0092294
                     56,                0.54528,                 0.3891,                0.92065,                 0.9528,                0.96462,                 0.9784,                0.89073,                 0.5513,                0.30435,                0.87915,              0.0092014,              0.0092014,              0.0092014
                     57,                0.55371,                0.38106,                 0.9373,                0.94584,                0.94167,                0.97589,                0.88316,                0.56651,                0.29065,                0.87789,               0.009173,               0.009173,               0.009173
                     58,                0.55357,                0.39225,                0.92256,                0.95691,                0.95844,                0.97478,                0.87948,                0.54485,                0.27894,                0.86289,               0.009144,               0.009144,               0.009144
                     59,                0.53546,                0.37259,                0.92101,                0.95082,                 0.9706,                 0.9824,                0.88635,                0.51969,                 0.2896,                0.86428,              0.0091147,              0.0091147,              0.0091147
                     60,                0.54241,                0.38415,                0.92385,                0.96883,                0.95078,                0.98104,                0.86549,                0.53823,                0.31419,                0.87164,              0.0090849,              0.0090849,              0.0090849
                     61,                0.53409,                0.36807,                0.91919,                0.96513,                 0.9514,                0.96849,                0.87253,                 0.5385,                0.27775,                0.87744,              0.0090546,              0.0090546,              0.0090546
                     62,                0.54405,                0.37695,                0.91985,                0.97371,                0.95843,                0.97821,                0.87254,                0.53278,                0.27845,                0.87383,              0.0090239,              0.0090239,              0.0090239
                     63,                0.53769,                0.37233,                0.91458,                0.96348,                0.95382,                0.98762,                0.87583,                0.52699,                0.29083,                  0.878,              0.0089928,              0.0089928,              0.0089928
                     64,                0.54709,                0.37671,                 0.9196,                0.96337,                0.96422,                0.99002,                0.87312,                0.50596,                0.28047,                0.86431,              0.0089613,              0.0089613,              0.0089613
